year,round,race_name,circuit,date,race_id,driver,driver_number,team,position,grid_position,points,status,is_winner,is_podium,is_points,is_dnf,fastest_lap,quali_position,q1_time,q2_time,q3_time,is_fastest_lap
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,LEC,16,Ferrari,1.0,1.0,26.0,Finished,1,1,1,0,,1.0,91.471,90.932,90.558,1
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,SAI,55,Ferrari,2.0,3.0,18.0,Finished,0,1,1,0,,3.0,91.567,90.787,90.687,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,HAM,44,Mercedes,3.0,5.0,15.0,Finished,0,1,1,0,,5.0,92.285,91.048,91.238,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,RUS,63,Mercedes,4.0,9.0,12.0,Finished,0,0,1,0,,9.0,92.269,91.252,92.216,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,MAG,20,Haas F1 Team,5.0,7.0,10.0,Finished,0,0,1,0,,7.0,91.955,91.461,91.808,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,BOT,77,Alfa Romeo,6.0,6.0,8.0,Finished,0,0,1,0,,6.0,91.919,91.717,91.56,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,OCO,31,Alpine,7.0,11.0,6.0,Finished,0,0,1,0,,11.0,92.041,91.782,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,TSU,22,AlphaTauri,8.0,16.0,4.0,Finished,0,0,1,0,,16.0,92.75,,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,ALO,14,Alpine,9.0,8.0,2.0,Finished,0,0,1,0,,8.0,92.346,91.621,92.195,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,ZHO,24,Alfa Romeo,10.0,15.0,1.0,Finished,0,0,1,0,,15.0,92.493,93.543,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,MSC,47,Haas F1 Team,11.0,12.0,0.0,Finished,0,0,0,0,,12.0,92.38,91.998,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,STR,18,Aston Martin,12.0,19.0,0.0,Finished,0,0,0,0,,19.0,93.032,,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,ALB,23,Williams,13.0,14.0,0.0,Finished,0,0,0,0,,14.0,92.726,92.664,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,RIC,3,McLaren,14.0,18.0,0.0,Finished,0,0,0,0,,18.0,92.945,,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,NOR,4,McLaren,15.0,13.0,0.0,Finished,0,0,0,0,,13.0,92.239,92.008,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,LAT,6,Williams,16.0,20.0,0.0,Finished,0,0,0,0,,20.0,93.634,,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,HUL,27,Aston Martin,17.0,17.0,0.0,Finished,0,0,0,0,,17.0,92.777,,,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,PER,11,Red Bull Racing,18.0,4.0,0.0,Fuel pressure,0,0,0,0,,4.0,92.311,91.008,90.921,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,VER,1,Red Bull Racing,19.0,2.0,0.0,Fuel pressure,0,0,0,0,,2.0,91.785,90.757,90.681,0
2022,1,Bahrain Grand Prix,Sakhir,2022-03-20,2022_1,GAS,10,AlphaTauri,20.0,10.0,0.0,Power Unit,0,0,0,0,,10.0,92.096,91.635,92.338,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,VER,1,Red Bull Racing,1.0,4.0,25.0,Finished,1,1,1,0,,4.0,88.928,88.945,88.461,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,LEC,16,Ferrari,2.0,2.0,19.0,Finished,0,1,1,0,,2.0,89.039,88.78,88.225,1
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,SAI,55,Ferrari,3.0,3.0,15.0,Finished,0,1,1,0,,3.0,88.855,88.686,88.402,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,PER,11,Red Bull Racing,4.0,1.0,12.0,Finished,0,0,1,0,,1.0,89.705,88.924,88.2,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,RUS,63,Mercedes,5.0,6.0,10.0,Finished,0,0,1,0,,6.0,89.68,89.618,89.104,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,OCO,31,Alpine,6.0,5.0,8.0,Finished,0,0,1,0,,5.0,90.093,89.584,89.068,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,NOR,4,McLaren,7.0,11.0,6.0,Finished,0,0,1,0,,11.0,89.957,89.651,,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,GAS,10,AlphaTauri,8.0,9.0,4.0,Finished,0,0,1,0,,9.0,89.891,89.418,89.254,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,MAG,20,Haas F1 Team,9.0,10.0,2.0,Finished,0,0,1,0,,10.0,89.831,89.546,89.588,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,HAM,44,Mercedes,10.0,15.0,1.0,Finished,0,0,1,0,,16.0,90.343,,,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,ZHO,24,Alfa Romeo,11.0,12.0,0.0,Finished,0,0,0,0,,13.0,89.978,89.819,,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,HUL,27,Aston Martin,12.0,17.0,0.0,Finished,0,0,0,0,,18.0,90.543,,,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,STR,18,Aston Martin,13.0,13.0,0.0,+1 Lap,0,0,0,0,,15.0,90.256,91.009,,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,ALB,23,Williams,14.0,16.0,0.0,Collision damage,0,0,0,0,,17.0,90.492,,,0
2022,2,Saudi Arabian Grand Prix,Jeddah,2022-03-27,2022_2,BOT,77,Alfa Romeo,15.0,8.0,0.0,Cooling system,0,0,0,0,,8.0,89.683,89.404,89.183,0
